City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Ahipara,NZ,-35.1667,173.1667,62.46,92,3,3.33,clear sky
108,Bambous Virieux,MU,-20.3428,57.7575,80.6,78,75,9.22,light rain
109,Oktyabrskoye,RU,43.0645,44.7417,48.2,76,90,4.47,overcast clouds
110,Gondanglegi,ID,-7.7479,112.0132,75.94,89,88,5.48,overcast clouds
111,Beyneu,KZ,45.3167,55.2,67.87,29,0,19.15,clear sky
112,Tongzi,CN,28.7829,105.0877,60.44,79,100,6.13,light rain
113,Hasaki,JP,35.7333,140.8333,46.4,87,20,6.91,few clouds
114,Marsa Matruh,EG,31.3525,27.2453,62.6,45,20,10.36,few clouds
115,Mehamn,NO,71.0357,27.8492,32.0,93,75,23.02,light snow
116,Lebu,CL,-37.6167,-73.65,58.69,64,0,12.53,clear sky
117,Tasiilaq,GL,65.6145,-37.6368,30.2,69,0,4.61,clear sky
118,Harrisonville,US,38.6533,-94.3488,55.99,47,1,8.1,clear sky
119,Sioux Lookout,CA,50.1001,-91.917,35.6,93,90,4.61,light intensity drizzle
120,Upernavik,GL,72.7868,-56.1549,29.19,75,100,7.92,overcast clouds
121,Nikolskoye,RU,59.7035,30.7861,51.8,30,0,6.71,clear sky
122,Worthington,US,40.0931,-83.018,55.99,67,90,13.8,overcast clouds
123,Chakradharpur,IN,22.7,85.6333,86.58,31,69,4.5,broken clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,66.2,59,75,3.44,broken clouds
125,Arinos,BR,-15.9169,-46.1056,84.02,44,62,4.59,broken clouds
126,Salalah,OM,17.0151,54.0924,84.2,65,20,6.91,few clouds
127,Tayturka,RU,52.8692,103.4608,25.77,62,0,3.91,clear sky
128,Aljezur,PT,37.3191,-8.8033,65.23,65,9,13.13,clear sky
129,Pangnirtung,CA,66.1451,-65.7125,24.8,68,40,4.56,scattered clouds
130,Chernyshevskiy,RU,63.0128,112.4714,-6.34,98,5,3.13,clear sky
131,Kahului,US,20.8947,-156.47,62.6,94,75,5.75,moderate rain
132,Avarua,CK,-21.2078,-159.775,75.2,100,97,1.14,overcast clouds
133,Provideniya,RU,64.3833,-173.3,7.29,88,100,25.55,light snow
134,Longyearbyen,SJ,78.2186,15.6401,17.6,62,75,16.11,broken clouds
135,Fortuna,US,40.5982,-124.1573,44.01,100,75,5.75,broken clouds
136,Chara,RU,56.9064,118.2631,-0.4,79,88,3.98,overcast clouds
137,Flin Flon,CA,54.7682,-101.865,26.6,93,75,10.36,snow
138,Saint George,US,37.1041,-113.5841,55.4,21,1,1.61,clear sky
139,Faanui,PF,-16.4833,-151.75,81.03,77,100,11.01,overcast clouds
140,Whitehorse,CA,60.7161,-135.0538,-18.4,76,20,3.09,few clouds
141,Laon,FR,49.5667,3.6667,42.8,81,90,13.8,overcast clouds
142,Iralaya,HN,15.0,-83.2333,82.99,74,96,10.92,overcast clouds
143,Daru,PG,-9.0763,143.2092,76.6,89,99,6.42,overcast clouds
144,Urengoy,RU,65.9667,78.3667,31.3,96,100,17.81,overcast clouds
