City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Rajsamand,IN,85.41,scattered clouds,25.0667,73.8833,dev heritage
349,Poum,NC,77.99,overcast clouds,-20.2333,164.0167,Gîte kajeon
350,Saldanha,ZA,80.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
351,Gamba,GA,87.17,broken clouds,-2.65,10.0,
352,Progreso,MX,90.0,clear sky,21.2833,-89.6667,Playa Linda Hotel
354,Bandarbeyla,SO,80.85,broken clouds,9.4942,50.8122,JABIR HOTEL
362,Maputo,MZ,86.0,clear sky,-25.9653,32.5892,Pestana Rovuma
363,San Patricio,US,75.99,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
364,Marawi,PH,77.0,overcast clouds,7.9986,124.2928,Derogongan Residence
365,Port Blair,IN,82.36,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
370,Nathdwara,IN,85.87,broken clouds,24.9333,73.8167,Hotel Sudarshan
372,Meulaboh,ID,78.93,overcast clouds,4.1363,96.1285,Kost Pria
373,Eyl,SO,81.66,broken clouds,7.9803,49.8164,Amiin Hotel
374,Sinnamary,GF,76.14,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
377,Umred,IN,84.2,haze,20.85,79.3333,Karhandla Farm And Resort
381,Qiongshan,CN,73.4,scattered clouds,20.0058,110.3542,Sun City Restaurant
382,Buraydah,SA,82.4,dust,26.326,43.975,فندق راحة السلام
384,Karratha,AU,83.98,broken clouds,-20.7377,116.8463,ibis Styles Karratha
386,Yenagoa,NG,81.27,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
387,Auki,SB,77.18,overcast clouds,-8.7676,160.7034,Auki Motel
388,Lubango,AO,70.84,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
391,Hargeysa,SO,81.75,scattered clouds,9.56,44.065,City Center Hotel
396,Bosaso,SO,84.2,clear sky,11.2842,49.1816,Red Sea Hotel
397,Charters Towers,AU,72.68,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
399,Dicabisagan,PH,75.4,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
401,Batticaloa,LK,82.06,moderate rain,7.7102,81.6924,Grand Star Guest House
402,Sabancuy,MX,87.66,clear sky,18.9667,-91.1833,pulpo
405,Kapit,MY,72.77,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
408,Beloha,MG,76.95,clear sky,-25.1667,45.05,
410,Cangucu,BR,75.2,broken clouds,-31.395,-52.6756,Casa Paulista
411,Bilgram,IN,87.17,clear sky,27.1833,80.0333,Dularey Prasad Guest House
