City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Middle Island,US,2021-04-08 01:14:30,40.8843,-72.9373,50.0,71,1,3.44
112,Volzhsk,RU,2021-04-08 01:14:30,55.8664,48.3594,35.6,87,75,8.95
113,Sao Geraldo Do Araguaia,BR,2021-04-08 01:14:31,-6.4006,-48.555,75.97,89,97,0.09
114,Khasan,RU,2021-04-08 01:14:31,42.4308,130.6434,42.53,37,18,13.15
115,Manggar,ID,2021-04-08 01:14:31,-2.8833,108.2667,81.12,81,100,10.51
116,Lukaya,UG,2021-04-08 01:14:31,-0.1489,31.8748,64.42,88,90,3.27
117,Gavle,SE,2021-04-08 01:14:32,60.6745,17.1417,28.0,58,29,3.0
118,Mercedes,AR,2021-04-08 01:14:32,-34.6515,-59.4307,75.99,79,24,3.0
119,Asyut,EG,2021-04-08 01:14:32,27.181,31.1837,69.8,32,0,6.91
120,Cururupu,BR,2021-04-08 01:14:33,-1.8283,-44.8683,77.72,86,100,2.44
121,Nemuro,JP,2021-04-08 01:14:33,43.3236,145.575,44.6,53,20,3.44
122,Balabac,PH,2021-04-08 01:14:33,7.9868,117.0645,82.67,73,100,6.67
123,Mahon,ES,2021-04-08 01:14:34,39.8885,4.2658,42.8,61,0,5.75
124,Inhambane,MZ,2021-04-08 01:14:34,-23.865,35.3833,71.51,83,8,4.79
125,Viedma,AR,2021-04-08 01:14:34,-40.8135,-62.9967,64.96,65,100,7.14
126,Torbay,CA,2021-04-08 01:14:34,47.6666,-52.7314,36.0,100,90,13.8
127,Kampene,CD,2021-04-08 01:14:35,-3.6,26.6667,68.61,99,100,1.21
128,Skjervoy,NO,2021-04-08 01:14:35,70.0311,20.9714,33.28,66,100,13.47
129,Wailuku,US,2021-04-08 01:11:38,20.8911,-156.5047,78.8,53,40,21.85
130,Port Hardy,CA,2021-04-08 01:14:36,50.6996,-127.4199,42.8,87,75,11.5
131,Komsomolskiy,UZ,2021-04-08 01:07:49,40.4272,71.7189,46.4,66,0,6.91
132,Margate,GB,2021-04-08 01:14:36,51.3813,1.3862,39.0,53,6,1.01
133,Siuri,IN,2021-04-08 01:14:36,23.9167,87.5333,77.0,78,1,5.75
134,Olinda,BR,2021-04-08 01:14:36,-8.0089,-34.8553,78.8,73,40,10.36
